Row Labels;Max of 1Uex;Max of 1Dex;Max of 3Uex;Max of 3Dex;Max of 7Uex;Max of 7Dex;Max of 1Uin;Max of 1Din;Max of 3Uin;Max of 3Din;Max of 7Uin;Max of 7Din
A_70_P000171;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P001431;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P001432;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P003401;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P003541;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P004271;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P004391;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P008596;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P008776;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P009551;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P012436;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P012881;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P014156;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P014652;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P014657;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P015751;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P016181;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P016336;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P017651;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P019656;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P019681;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P019866;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P021931;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P022951;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P023026;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P024926;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P028386;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P028616;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P028906;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P029221;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P030446;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P030506;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P035126;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P038046;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P038051;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P038346;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P039516;0;1;0;1;0;1;1;0;1;0;1;0
A_70_P039517;0;1;0;1;0;1;1;0;1;0;1;0
A_70_P039661;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P039662;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P039706;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P040436;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P041046;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P041786;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P041806;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P042061;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P043146;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P044801;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P045491;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P045996;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P046111;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P046406;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P047446;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P049636;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P050535;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P051846;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P052081;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P053451;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P054421;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P055161;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P055806;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P058166;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P058566;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P058706;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P060991;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P061026;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P061066;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P061236;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P064186;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P065386;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P065491;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P065771;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P066871;1;0;1;0;1;0;0;1;0;1;0;1
A_70_P068966;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P069006;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P070351;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P070554;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P070876;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P071696;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P071956;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P000066;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P000226;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P001641;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P001691;1;0;0;0;1;0;1;0;1;0;1;0
A_70_P002056;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P002156;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P003141;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P003276;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P003891;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P004036;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P004161;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P005041;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P005216;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P005501;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P005526;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P006071;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P006186;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P006341;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P007066;0;1;0;1;0;1;1;0;1;0;0;0
A_70_P007316;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P007491;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P007666;0;0;1;0;1;0;1;0;1;0;1;0
A_70_P007671;0;0;0;1;0;1;0;1;0;1;0;1
A_70_P008031;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P008536;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P010056;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P010241;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P010821;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P011116;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P011891;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P012541;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P013126;0;0;0;1;0;1;0;1;0;1;0;1
A_70_P014656;0;1;0;1;0;0;0;1;0;1;0;1
A_70_P014851;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P015081;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P015461;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P016332;0;0;1;0;1;0;1;0;1;0;1;0
A_70_P016351;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P017736;0;1;0;1;0;1;0;1;0;0;0;1
A_70_P018331;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P018436;1;0;1;0;1;0;0;0;1;0;1;0
A_70_P019126;1;0;1;0;1;0;0;0;1;0;1;0
A_70_P019441;0;1;0;1;0;0;0;1;0;1;0;1
A_70_P019971;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P020096;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P020236;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P020316;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P021761;0;0;1;0;1;0;1;0;1;0;1;0
A_70_P021796;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P021971;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P022226;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P022451;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P022696;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P024146;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P025506;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P027721;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P027966;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P028446;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P029856;0;1;0;1;0;0;0;1;0;1;0;1
A_70_P030376;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P030377;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P030412;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P031881;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P032021;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P032311;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P032596;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P033266;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P033351;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P034351;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P034696;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P035726;0;1;0;1;0;1;0;1;0;0;0;1
A_70_P035941;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P037126;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P038041;0;1;0;1;0;0;1;0;1;0;1;0
A_70_P038491;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P039276;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P039391;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P039392;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P039676;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P039677;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P039916;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P040211;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P040876;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P041807;1;0;1;0;1;0;1;0;0;0;1;0
A_70_P042006;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P042206;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P045056;0;0;0;1;0;1;0;1;0;1;0;1
A_70_P045231;1;0;1;0;0;0;1;0;1;0;1;0
A_70_P045261;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P045421;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P045486;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P045781;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P046781;1;0;1;0;0;0;1;0;1;0;1;0
A_70_P047821;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P047966;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P048131;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P048451;0;0;1;0;1;0;1;0;1;0;1;0
A_70_P049151;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P049181;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P050216;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P050991;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P050992;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P051486;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P051776;0;1;0;1;0;0;0;1;0;1;0;1
A_70_P052601;0;0;0;1;0;1;0;1;0;1;0;1
A_70_P052951;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P053051;0;1;0;1;0;0;0;1;0;1;0;1
A_70_P053466;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P053486;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P053576;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P053936;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P054236;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P054756;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P056456;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P057151;0;1;0;1;0;1;0;0;0;1;0;1
