Row Labels;Max of 1Uex;Max of 1Dex;Max of 3Uex;Max of 3Dex;Max of 7Uex;Max of 7Dex;Max of 1Uin;Max of 1Din;Max of 3Uin;Max of 3Din;Max of 7Uin;Max of 7Din
A_70_P057201;0;0;1;0;1;0;1;0;1;0;1;0
A_70_P057221;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P057651;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P057981;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P058311;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P059324;1;0;1;0;1;0;0;0;0;1;0;1
A_70_P060651;0;1;0;1;0;0;0;1;0;1;0;1
A_70_P061046;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P061331;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P061801;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P061971;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P063792;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P064081;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P064181;0;1;0;0;0;1;0;1;0;1;0;1
A_70_P064276;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P064576;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P065181;0;1;0;1;0;0;0;1;0;1;0;1
A_70_P066566;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P066716;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P067986;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P068101;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P068102;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P069771;1;0;1;0;1;0;1;0;1;0;0;0
A_70_P071416;0;1;0;1;0;0;0;1;0;1;0;1
A_70_P071481;0;1;0;1;0;1;0;1;0;1;0;0
A_70_P071781;0;1;0;1;0;1;0;0;0;1;0;1
A_70_P000016;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P000336;1;0;0;0;1;0;0;0;0;1;0;1
A_70_P001276;0;1;0;0;0;1;0;0;0;1;0;1
A_70_P001471;1;0;1;0;0;0;1;0;1;0;0;0
A_70_P001472;1;0;1;0;0;0;1;0;1;0;0;0
A_70_P001536;0;1;0;1;0;0;0;0;0;1;0;1
A_70_P001746;1;0;0;0;0;0;1;0;1;0;1;0
A_70_P001766;0;1;0;0;1;0;0;0;1;0;1;0
A_70_P001801;0;1;0;0;1;0;0;0;1;0;1;0
A_70_P001891;0;1;0;0;1;0;0;0;1;0;1;0
A_70_P002366;0;0;1;0;1;0;1;0;1;0;0;0
A_70_P002481;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P002796;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P002797;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P002816;0;0;0;0;1;0;1;0;1;0;1;0
A_70_P002876;0;0;1;0;0;0;1;0;1;0;1;0
A_70_P003761;0;1;0;1;0;1;0;1;0;0;0;0
A_70_P004191;0;1;0;1;0;1;0;1;0;0;0;0
A_70_P004856;0;1;0;1;0;1;0;0;0;0;0;1
A_70_P005026;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P005151;0;0;1;0;1;0;1;0;1;0;0;0
A_70_P005986;0;1;0;0;0;1;0;0;0;1;0;1
A_70_P005996;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P006051;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P006076;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P006436;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P006441;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P006476;0;1;0;1;0;1;0;1;0;0;0;0
A_70_P006576;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P006586;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P006896;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P006901;0;0;1;0;1;0;0;0;1;0;1;0
A_70_P006911;0;1;0;0;0;1;0;0;0;1;0;1
A_70_P007551;1;0;0;0;1;0;1;0;1;0;0;0
A_70_P008161;0;1;0;1;0;1;0;0;1;0;0;0
A_70_P008251;0;0;1;0;1;0;1;0;1;0;0;0
A_70_P008296;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P008371;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P008486;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P009131;0;1;0;0;0;1;0;0;0;1;0;1
A_70_P009411;1;0;0;0;1;0;1;0;1;0;0;0
A_70_P009416;0;0;1;0;1;0;1;0;1;0;0;0
A_70_P009466;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P009561;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P009891;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P009961;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P010846;0;1;0;1;0;0;0;1;0;1;0;0
A_70_P011216;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P011346;0;1;0;1;0;1;0;0;1;0;0;0
A_70_P011581;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P011796;0;1;0;1;0;1;0;0;0;0;0;1
A_70_P011846;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P013266;0;1;0;1;0;1;0;1;0;0;0;0
A_70_P013366;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P013471;1;0;0;0;1;0;1;0;1;0;0;0
A_70_P014131;0;1;0;0;0;0;0;1;0;1;0;1
A_70_P014246;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P014421;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P015051;0;1;0;0;0;1;0;1;0;1;0;0
A_70_P015116;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P015266;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P016046;0;1;0;1;0;1;0;0;0;0;0;1
A_70_P016146;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P016331;0;0;0;0;1;0;1;0;1;0;1;0
A_70_P016337;0;0;1;0;0;0;1;0;1;0;1;0
A_70_P016352;0;1;0;0;0;1;0;0;0;1;0;1
A_70_P016381;0;1;0;0;0;1;0;1;0;1;0;0
A_70_P016726;0;1;0;0;0;1;0;1;0;1;0;0
A_70_P016906;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P017046;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P017047;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P017561;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P017566;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P017591;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P017866;1;0;0;0;1;0;0;0;1;0;1;0
A_70_P017946;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P018171;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P018336;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P019046;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P019091;0;1;0;1;0;1;0;1;0;0;0;0
A_70_P019501;0;1;0;1;0;0;0;1;0;1;0;0
A_70_P019536;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P019706;0;0;0;1;0;1;0;0;0;1;0;1
A_70_P019746;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P020476;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P020946;1;0;0;0;1;0;1;0;1;0;0;0
A_70_P021026;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P021211;0;1;0;1;0;1;0;1;0;0;0;0
A_70_P021596;0;0;0;0;1;0;1;0;1;0;1;0
A_70_P021711;0;1;0;0;1;0;0;0;1;0;1;0
A_70_P022181;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P022276;0;1;0;0;0;1;0;0;0;1;0;1
A_70_P022436;0;0;1;0;0;0;1;0;1;0;1;0
A_70_P023041;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P023086;0;1;0;0;0;1;0;0;0;1;0;1
A_70_P024301;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P024986;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P026121;0;1;0;1;0;1;0;0;1;0;0;0
A_70_P026172;0;0;0;1;0;1;0;0;0;1;0;1
A_70_P026211;0;0;0;0;1;0;1;0;1;0;1;0
A_70_P026536;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P026537;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P026547;1;0;1;0;1;0;0;0;0;0;1;0
A_70_P026986;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P027046;0;0;0;1;0;1;0;1;0;1;0;0
A_70_P027286;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P027486;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P027536;0;1;0;1;0;1;0;0;1;0;0;0
A_70_P027666;0;0;0;0;1;0;1;0;1;0;1;0
A_70_P027811;0;1;0;0;1;0;0;0;1;0;1;0
A_70_P028151;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P028306;1;0;1;0;0;0;1;0;1;0;0;0
A_70_P028307;1;0;1;0;0;0;1;0;1;0;0;0
A_70_P028491;1;0;0;0;1;0;1;0;1;0;0;0
A_70_P029186;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P029781;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P029861;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P030026;0;1;0;1;0;1;0;0;0;0;0;1
A_70_P030096;0;1;0;0;0;1;0;1;0;1;0;0
A_70_P030196;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P030336;0;1;0;1;0;0;0;0;0;1;0;1
A_70_P030411;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P030536;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P030596;0;1;0;1;0;1;0;1;0;0;0;0
A_70_P030871;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P030911;0;1;0;1;0;1;0;0;0;0;0;1
A_70_P030971;0;1;0;1;0;0;0;1;0;1;0;0
A_70_P031486;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P031636;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P031637;0;0;0;1;0;1;0;0;0;1;0;1
A_70_P032161;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P032341;0;0;1;0;1;0;1;0;1;0;0;0
A_70_P032386;0;0;1;0;1;0;1;0;1;0;0;0
A_70_P032461;0;0;0;1;0;1;0;1;0;1;0;0
A_70_P032816;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P033126;0;1;0;1;0;1;0;1;0;0;0;0
A_70_P033686;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P033721;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P033931;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P034476;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P034531;0;0;0;0;1;0;1;0;1;0;1;0
A_70_P034821;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P034961;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P035106;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P035241;0;1;0;0;0;1;0;1;0;1;0;0
A_70_P035351;0;1;0;1;0;1;0;0;0;0;0;1
A_70_P035456;0;0;1;0;1;0;1;0;1;0;0;0
A_70_P035686;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P036136;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P036181;1;0;0;0;1;0;0;0;0;1;0;1
A_70_P036182;1;0;0;0;1;0;0;0;0;1;0;1
A_70_P036376;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P036886;0;1;0;1;0;1;0;0;1;0;0;0
A_70_P037031;0;1;0;1;0;1;0;0;0;0;0;1
A_70_P037131;0;1;0;0;0;1;0;1;0;1;0;0
A_70_P037276;0;0;1;0;0;0;1;0;1;0;1;0
A_70_P037491;0;1;0;0;0;0;1;0;1;0;1;0
A_70_P037521;0;1;0;0;0;0;0;1;0;1;0;1
A_70_P037556;0;0;0;0;1;0;1;0;1;0;1;0
A_70_P038011;0;1;0;0;0;0;0;1;0;1;0;1
A_70_P038056;0;1;0;0;1;0;0;0;1;0;1;0
A_70_P038291;1;0;0;0;1;0;0;0;1;0;1;0
A_70_P038961;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P038976;1;0;1;0;0;0;1;0;1;0;0;0
A_70_P039046;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P039256;1;0;1;0;1;0;0;0;0;1;0;0
A_70_P039426;0;1;0;1;0;1;0;0;0;0;0;1
A_70_P039451;0;0;1;0;1;0;1;0;1;0;0;0
A_70_P039881;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P040681;0;1;0;0;0;0;0;1;0;1;0;1
A_70_P040956;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P041246;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P041847;0;1;0;0;0;0;0;1;0;1;0;1
A_70_P042176;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P042451;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P042741;1;0;1;0;0;0;1;0;1;0;0;0
A_70_P042781;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P042941;1;0;1;0;0;0;1;0;1;0;0;0
A_70_P043111;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P043736;1;0;1;0;1;0;0;0;0;1;0;0
A_70_P044301;1;0;1;0;0;0;1;0;1;0;0;0
A_70_P044736;0;1;0;0;0;1;0;1;0;1;0;0
A_70_P045386;0;1;0;1;0;1;0;0;0;0;0;1
A_70_P045436;0;1;0;0;0;0;0;1;0;1;0;1
A_70_P046001;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P046651;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P046776;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P047136;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P047516;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P047551;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P047586;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P047731;0;0;1;0;1;0;0;0;1;0;1;0
A_70_P047786;0;1;0;1;0;1;0;0;1;0;0;0
A_70_P048271;0;0;0;0;0;1;0;1;0;1;0;1
A_70_P048396;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P048811;0;1;0;0;0;0;0;1;0;1;0;1
A_70_P048896;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P049616;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P049816;0;1;0;1;0;0;0;1;0;1;0;0
A_70_P050111;0;0;0;0;1;0;1;0;1;0;1;0
A_70_P050181;0;1;0;0;0;1;0;0;0;1;0;1
A_70_P050366;0;1;0;0;0;0;0;1;0;1;0;1
A_70_P050636;1;0;1;0;1;0;1;0;0;0;0;0
A_70_P050686;1;0;1;0;1;0;0;0;1;0;0;0
A_70_P051261;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P051291;0;1;0;0;0;1;0;1;0;1;0;0
A_70_P051292;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P051322;0;1;0;1;0;1;0;0;0;1;0;0
A_70_P052256;1;0;1;0;1;0;1;0;0;0;0;0
